Color_ID,Color
4267245230312799321,black
8681508581504188101,green
-2184647866911811472,gray
-2217953465094946562,blue
-5843696606593366574,white
4846999397244735084,red
-8826586379140245755,silver
5453325347203775305,brown
-8020097041626217976,beige
-5281409070076784970,light Blue
6320133133709378858,yellow
2154323792268203275,gold
4300573557400138699,orange
-7640273840723963380,purple
-7444187025253112410,magenta
-3373230621435611119,pink
