Country_ID,Country
-5593725673915439849,German
-8631894046352950333,Japan
6371884941062858572,UK
-9026530812207327211,Czech Republic
1704617648616951181,China
8784569701856096942,France
7299656177706584794,Russia
-1799637475259866408,USA
7567531334499103768,Sweden
-1395310828655820714,South Korea
3685285520927348167,Italy
570304712213029915,Spain
1451735163393884435,Uzbekistan
670713029376618853,Taiwan
7255902428774932963,Ukraine
4222134055639080993,Iran
-876198609072116335,-
