Dimensions_ID,Width,Length,Height,Wheelbase,Curb_weight_kg,Clearance
-6570663088436455868,1764.0,4410.0,1512.0,2635.0,1280.0,178.0
1830062631700847852,1700.0,4268.0,1500.0,2476.0,1075.0,180.0
8659913606266064351,1700.0,4268.0,1500.0,2476.0,1075.0,165.0
-1912468587668973432,1706.0,4485.0,1475.0,2602.0,1195.0,170.0
-5787069038138971799,1706.0,4485.0,1475.0,2602.0,1255.0,170.0
5171140718376603117,1706.0,4485.0,1475.0,2602.0,1235.0,170.0
-1343840610252703619,1894.0,4882.0,1868.0,3008.0,1960.0,246.0
2893870748656772996,1923.0,4950.0,1776.0,2984.0,2274.0,238.0
-503011986162607984,1923.0,4950.0,1776.0,2984.0,1939.0,238.0
5926507095495588787,1923.0,4950.0,1776.0,2984.0,1989.0,238.0
7883781087759900074,1700.0,4148.0,1560.0,2476.0,1125.0,198.0
-2049636187956159728,1700.0,4250.0,1500.0,2476.0,1085.0,190.0
4780214786609056771,1700.0,4250.0,1500.0,2476.0,1085.0,175.0
-5251216700295998122,2055.0,4848.0,1430.0,2873.0,1970.0,0.0
-6075947435409497480,1863.0,4425.0,1652.0,2702.0,1733.0,211.0
4347039536987020464,1863.0,4425.0,1652.0,2702.0,1684.0,211.0
-8263804550008410350,1863.0,4425.0,1652.0,2702.0,1625.0,211.0
1904470034516234966,1947.0,4937.0,1797.0,2995.0,1571.7172606568836,0.0
-6641795932680923257,1947.0,4937.0,1797.0,2995.0,2305.0,0.0
-7198329520886598566,1943.0,4828.0,1802.0,2915.0,2403.0,205.0
-6784339526216033929,1943.0,4828.0,1802.0,2915.0,2266.0,205.0
1649903019984773742,1943.0,4828.0,1802.0,2915.0,2260.0,205.0
-773607456446107430,1999.0,4688.0,1658.0,2865.0,2081.0,216.0
7804669112742858143,2004.0,4935.0,1696.0,2975.0,2260.0,216.0
5225562183139820842,2004.0,4935.0,1696.0,2975.0,2055.0,216.0
4325678750514001061,2004.0,4935.0,1696.0,2975.0,2110.0,216.0
-8577887022801148859,2004.0,4935.0,1696.0,2975.0,2235.0,216.0
8651922021118959424,1984.0,4395.0,1649.0,2681.0,1843.0,204.0
-6274711604265871552,1984.0,4395.0,1649.0,2681.0,1832.0,204.0
-8406360836778599649,1984.0,4395.0,1649.0,2681.0,1894.0,204.0
2714244484642310916,1805.0,4405.0,1685.0,2670.0,1600.0,183.0
-972959068414266445,1805.0,4405.0,1685.0,2670.0,1535.0,183.0
3576547899857410973,1805.0,4405.0,1685.0,2670.0,1505.0,183.0
-2086124046167925975,1849.0,4484.0,1585.0,2680.0,1695.0,0.0
-3230944963577959543,1849.0,4484.0,1585.0,2680.0,1570.0,0.0
5236371104566295763,1855.0,4600.0,1685.0,2690.0,1675.0,195.0
135697832731013942,1855.0,4600.0,1685.0,2690.0,1570.0,195.0
-8199001253960711327,1855.0,4600.0,1685.0,2690.0,1680.0,200.0
-4181407646298104300,1855.0,4600.0,1685.0,2690.0,1610.0,195.0
-5865733115578513992,1871.0,5054.0,1455.0,2951.0,2045.0,122.0
4144367543847707228,1871.0,5054.0,1455.0,2951.0,1965.0,122.0
-6740572526335268660,1871.0,5054.0,1455.0,2951.0,1970.0,122.0
3760258826113606350,1871.0,5054.0,1455.0,2951.0,2025.0,122.0
5450694219257541890,1839.0,4879.0,1445.0,2825.0,1555.0,0.0
4669642707997691719,1839.0,4879.0,1445.0,2825.0,1690.0,0.0
4040596505479377054,1839.0,4879.0,1445.0,2825.0,1570.0,0.0
8740579245346590454,1840.0,4500.0,1560.0,2680.0,1695.0,0.0
8434778120750224580,1757.0,4083.0,1626.0,2589.0,1074.0,195.0
4587622560231814051,1757.0,4083.0,1626.0,2589.0,1090.0,195.0
-2091097253567715543,1757.0,4083.0,1626.0,2589.0,1149.0,195.0
8141207493665708107,1757.0,4083.0,1626.0,2589.0,1128.0,178.0
5202910017268928725,1850.0,4761.0,1431.0,2872.0,1677.0,0.0
7024255456458584860,1821.0,4447.0,1598.0,2670.0,1430.0,183.0
5916158833005044800,1821.0,4447.0,1598.0,2670.0,1570.0,183.0
7596238053436488536,1821.0,4447.0,1598.0,2670.0,1605.0,183.0
8015844997897105320,2073.0,5000.0,1869.0,2922.0,2249.0,220.0
-2615355165327132903,2073.0,5000.0,1869.0,2922.0,2383.0,220.0
-3580546982463655139,2073.0,5000.0,1869.0,2922.0,2504.0,220.0
4145050149699151989,1846.0,4615.0,1655.0,2725.0,1605.0,190.0
5186982665187763378,1846.0,4615.0,1655.0,2725.0,1756.0,190.0
-4883915173145999564,1846.0,4615.0,1655.0,2725.0,1670.0,190.0
-400010113906318216,1928.0,5140.0,1880.0,3200.0,2180.0,160.0
-2569487322075807734,1928.0,5140.0,1880.0,3200.0,2145.0,160.0
2388165729978665580,1928.0,5140.0,1880.0,3200.0,2075.0,160.0
7005703589228992023,1850.0,4784.0,1499.0,2874.0,1865.0,210.0
1002863142314480886,1839.0,4757.0,1426.0,2840.0,1680.0,0.0
-8890960245076894869,1706.0,4483.0,1461.0,2602.0,1160.0,170.0
1609871107371980141,1706.0,4483.0,1461.0,2602.0,1215.0,170.0
7097089483926238761,1706.0,4483.0,1461.0,2602.0,1227.0,170.0
6776397866840052642,1850.0,4445.0,1407.0,2729.0,1555.0,0.0
7103442979033742531,1850.0,4445.0,1407.0,2729.0,1550.0,0.0
6607539287367391431,1727.0,3850.0,1414.0,2495.0,1160.0,143.0
-149024906484495229,1727.0,3850.0,1414.0,2495.0,1115.0,143.0
-1661270169851148769,1852.0,5038.0,1460.0,2939.0,1571.7172606568836,114.0
-8805746690357030927,1852.0,5038.0,1460.0,2939.0,1950.0,114.0
-3865852670133453334,2010.0,4939.0,1730.0,2935.0,2305.0,0.0
-4336016252512853517,1902.0,5120.0,1467.0,3070.0,1790.0,135.0
